jqr,esp,gram_cat
urpshu,"malograrse, oler mal (comida guardada); formarse capa nata (en comida guardada); **urpshuta.** adj. malogrado(a), con capa o nata (comida guardada); s. capa o nata que se forma en la comida guardada. **urqu.** adj. y s. macho; s. gallo; cerro (II). **uru** (1) s. día",verbo
urutha,de día,adverbo
urja,de día,adverbo
urshuya,hacerse tarde (hablando en la mañana),verbo
ururu,"diaria-mente, todos los días. V. **apsaph apsapha**",adverbo
uruyuru,"como de día, con mucha claridad (resplandor de la luna). **uru** (2) s. araña, tarántula; culebra, serpiente. **uru** (3) s. oro. **-uru** V. **-ru** (2). **urunquyllu.** s. hormiga. **ururpta.** v. infectarse; extenderse infección; extenderse o agrandarse herida (por infección). **ururu** V. **uru** (1). **uruya.** s. sistema para cruzar ríos o barrancos, consistente en una soga y poleas, o soga solamente, que permite que una persona, en una jaula o canasta, pase de una orilla a otra. **usiyusu.** adj. ocioso(a). **uskha** V. **usu**. **úsraya** V. **usu**. **usta.** v",adverbo
usiri,enfermo(a),adjetivo y sustantivo
uskha,doler (un golpe o hincón),verbo
úsraya,enfermizo(a),desconocido
ustata,enfermarse. **usutha.** adv. fuerte; en voz alta,verbo
ushpaya,sacar a pastar en la mañana; hacer comer restos de pasto del día anterior. **ushqu.** s. gato montés (más grande que el gato doméstico),verbo
utasana,"lugar con casa(s), lugar con muchas casas",sustantivo
utsana,techo,sustantivo
ututa,4 (^) DATO TOMADO DE LA MISMA FUENTE DE,sustantivo
utmashi,concubina,sustantivo
utwishi,"sin casa, sin hogar.***úta, útasana, útúta, útmashi*** **uta** (2) v. estar; residir, vivir; existir, haber; tener",adjetivo
utaya,t,verbo
uthnuqunushu,"silla, asiento.***sentadera*** **uwa.** pron",sustantivo
uyshu,"i. disolverse, remojarse; **uyshuta.** adj. remojado(a), disuelto(a) por remojo",verbo
uyshuya,"t. disolver; fundir. **uyshuta** , **uyshuya** V. **úyaya**. **uyu** (1) s. patio; corral (u. a.). V. **kurrala**. **uyu** (2) adj. sucio(a), mugriento(a) (ropa, cuerpo); **uykiri.** adj. grasiento(a), mugriento(a) (ropa, cuerpo)",verbo
uyshu,"ponerse sucio(a), grasiento(a) o mugriento(a). **úyuwa.** v. criar (ganado, aves, niños(as)); **uyuwiri.** s. criador(a),",verbo
uyuwnushu,animal doméstico,sustantivo
uywa,animal (por lo general un cuy) que se pone en el sitio de la ofrenda V. **kanlli** ) y al que después se puede dejar en libertad; llama que se sacrificaba en homenaje a la tierra. **uywa** V. **úyuwa**. ## W **-w-**. suf. tiempo pasado simple. Ej.:,sustantivo
wachu,huérfano(a). **wachwa.** s. ganso silvestre (II). **wachwalu.** s,sustantivo
watraya,"hacer llevar o traer (ropa, soga(s) o lana en cantidad, con las dos manos)",verbo
watrnaqa,"llevar o traer por aquí y por allá (ropa, soga(s) o lana en cantidad, con las dos manos)",verbo
watrnuqu,"dejar en determinado lugar (ropa, soga(s), lana, etc.)",verbo
watrpta,"coger, recoger con las dos manos (ropa, soga(s), lana, etc.)",verbo
watrshu,"sacar con las dos manos (ropa, soga(s), lana, etc.). **watri** (2) v. meter semilla (al arar o remover la tierra con el arado de pie).***wátri*** ?- ?será que watri (1) es con vocal larga y watri (2) con vocal corta? **waja.** v. esparcir o espolvorear (tierra, harina, semillas pequeñas, etc.)",verbo
wajkata,"echar, arrojar (tierra, harina o polvo)",verbo
wajkipa,"volver a vaciar de un recipiente a otro (granos, tostados o no), echar tierra a lo que sobresale (cosa, animal o persona)",verbo
wajshu,"echar todo (semilla), aventar todo (semilla)",verbo
wajuru,echar granos de un recipiente a otro,verbo
wajwajara,"echar o esparcir semilla por todo el terreno; desparramar por descuido (semillas, harina, etc.); derrochar (dinero). **wajcha.** s. hijo(a) natural. **wajllanka.** adj. de tetas grandes y colgantes; de ubre grande; s. mujer, vaca o cabra que produce abundante leche. **wajra.** s. cuerno",verbo
wajrasana,"que tiene cuerno(s), cornudo(a); s. persona que ""pone cuernos"" a otro(a)",adjetivo
wajrawajra,"(literalmente es ""cuernocuerno"") arbusto con espinas en forma de cuerno. Su flor es amarilla",sustantivo
wajrwishi,"sin cuernos. **wajrwajra** , **wajrwishi** V. **wajra**. **wajrurkha.** adv. hace ya tiempo. V **wara** (2). **wajsu.** s. diente canino (de gente o animal). **wajta.** adj. grande (grano(s) de maíz",sustantivo
wakilla,vaquillona,sustantivo
wakiru,vaquero(a),sustantivo
wakuña,"vaquita (es palabra que expresa afecto). **wakada** o **wakama**. s. llama castrado. **wakataya.** s. huacatay (yerba que da sabor a sopas). **wakcha.** s. carnero, oveja. V. **muchu** (2). **waku.** s. planta de maíz que no produce mazorca; es de tallo muy dulce. **wakullu.** adj. en crecimiento, de tierna edad (gente o animales); s. hijo(a) último(a). **wakhi.** v. llevar o traer paja o pasto (en la mano o bajo el brazo); llevar o traer paja (ave, en el pico). **wakhri.** s. helada (frío muy intenso, que marchita o ""quema"" a las plantas); relámpago. ***wakhra***",sustantivo
wakhraya,i. relampaguear,verbo
wakhrshu,helarse (dañarse la planta por la helada). **wak’a.** s. faja,verbo
wak’akha,"cintura, cadera",sustantivo
wak’uru,"ponerse faja. **wala.** v. correr; p. e. ¡corre!, ¡rápido!; **waliri.** s. el/la que corre",verbo
walarpaya,"correr; ""darse un salto"" a un lugar (visitar)",verbo
walaya,hacer correr; hacer acompañar (contra su voluntad),verbo
walkata,caminar o desplazarse dando pequeñas carreras o corridas,verbo
walna,"rápidamente, rápido, prestamente. V. **qhantyi**",adverbo
walnaqa,"corretear por aquí y por allá; estar perseguido(a) o corrido(a); **walnaqiri.** s. fugitivo(a), huyente",verbo
walnaqaya,"t. hacer correr por aquí y por allá, perseguir; perseguir o corretear por aquí y por allá; **walnaqayiri** o **walnaqaykiri.** s. perseguidor(a)",verbo
walpta,correr huyendo; huir,verbo
walptaya,"hacer correr (a perseguido(a)), hacer huir, poner en fuga",verbo
waluru,"acelerar la caminata, apretar el paso",verbo
walwalara,"huir en diferentes direcciones, dispersarse corriendo",verbo
walwaltra,"correr con interrupciones, correr deteniéndose y volviendo a correr. **walaku** , **walakiru** V. **balakiru**. **walna** , **walnaqa** , **walpta** V. **wala**. **wallapu** V. **walli**. **walli.** v. despanzurrar, sacar tripas (de animal ya tasajear o rebanar finamente (para cecina o charqui)",verbo
wallapu,pulpa (carne).***wallapa***,sustantivo
walltrhatrha,"abrir el vientre, sacar las vísceras",verbo
wallpta,abrir vientres de muchos cuerpos y rebanar fino,verbo
wallshu,rebanar todo (para cecina o charqui),verbo
walluru,"rebanar por un momento (para cecina o charqui). **wallka.** adv. poco, en poca cantidad; adj. poco(a), pocos(as), menos",verbo
wallkacha,"poco no más; **wallkachatha.** adv. de poco, de a pocas; al menudeo",adverbo
wallkachshu,"ser pocos(as) no más, ser poco no más, ser poquitos(as)",verbo
wallktraqa,"menos, poquitos(as)",adjetivo
wallktraqt’a,"quedar muy pocos(as), quedar menos",verbo
wallkshu,"i. ser pocos(as), disminuir",verbo
wallkuru,"corto tiempo, poco tiempo. **wállmichi.** s. muchacha; semilla de papa (u. a.)",adverbo
wallmichuña,"muchachita, jovencita. **wallpa.** s. gallina; s. cobarde. V. **chipi** , **urqu** , **ututu**. **wallpta** V. **walli**. **wallqa.** s. corbata; prenda de adorno para el cuello (pañoleta, chalina, etc.)",sustantivo
wallqurpta,"abrazar; **wallqurptata.** adj. abrazado(a); **wallqurptushu.** adv. abrazados(as),",verbo
wallqurptishi,abrazarse (uno(a) a otro(a)),verbo
wallqurqha,"volver a ponerse al cuello adornos o prendas (corbata, pañuelo, collar, etc.)",verbo
wallquru,"colgarse algo en el cuello (pañuelo, corbata, collar, etc.). **wallqurpta** , **wallqurqhu** V. **wallqa**. **wallshu** V. **walli**. **wallwa.** s. arbusto de flores azules y hojas ovaladas pequeñas. El tallo sirve para leña y las hojas para infusiones. **wamanchillka.** s. árbol no muy grande, de tallo recto. Sus hojas, calentadas al fuego, alivian molestias del reumatismo. **wamanq’iru.** s. variedad de maguey de hojas algo azuladas, de las cuales hacen sogas. **wamini.** s. cumbrera, viga central; pared lateral (de casa) a medio levantar; cada una de las mitades de techo a dos aguas. **wamuqucha.** adv. por primera y única vez. Ej.:",verbo
wanaya,"t. intimidar, hacer sentir miedo, dar miedo",verbo
wanichi,"ahuyentar, espantar",verbo
wantrha,"miedoso(a), asustadizo(a)",adjetivo
wankha,"asustarse, sentir miedo (por experiencia anterior)",verbo
wankhaya,"t. hacer sentir miedo, causar temor, escarmentar. **wankara.** s. tambor pequeño. V. **tinya**. **wanku.** s. riñón. V. **máwruru**. **wankha** , **wankhaya** V. **wani**. **wanqu.** v. arar (con arado de pie) removiendo terrones duros y grandes. V. **thara**",verbo
wanqshu,"sacar palanqueando (piedra, raíz, etc.). **wantkipa** , **wantkha** V. **wantu**. **wantqhasa** V. **wantu**. **wantu.** v. cargar (sobre el hombro) cosas pesadas, algo pesado; llevar o traer en el hocico, mordiendo (el perro); **wántiri** o **wántkiri.** s. cargador(a)",verbo
wantaya,hacer cargar (sobre el hombro),verbo
wantishi,llevar(se) o traer carga al hombro,verbo
wantkipa,llevar o traer la carga de un sitio a otro volteando la esquina; ayudar (a quien carga al hombro) a poner bulto sobre muro o pasarlo al otro lado,verbo
wantkipaya,hacer llevar o traer carga (sobre el hombro) volteando la esquina o pasándola sobre muro,verbo
wantkha,"poner carga sobre el hombro; alzar carga pesada y ponerla sobre muro, andén o parte alta",verbo
wantqhasa,"sostener (por ej., la rama a los frutos)",verbo
wantqhullu,ponerse carga al hombro para empezar a caminar,verbo
wantshu,"sacar la carga (del hombro), quitar del camino obstáculos pesados (al hombro o cargando con los dos brazos)",verbo
wanturu,"entrar cargando al hombro, meter cargando al hombro; estar situado(a), estar enclavado(a) (pueblo o lugar entre cerros o quebradas)",verbo
wanaya,"estercolar, abonar (con estiércol). - **wanwa.** suf. era(n). Ej.:",verbo
wanwaniw-,"haber mucho, abundar",verbo
waqkata,arrojar (agua),verbo
waqpta,derramar accidentalmente (líquido o granos),verbo
waquru,echar agua a un recipiente,verbo
waqwaqara,"derramar (líquido o granos) por aquí y por allá. **-waqa.** suf. una parte, una pequeña parte, un poco (comenzando algo o probando). Ej.:",verbo
waqini,"con precio, con valor, que tiene precio o valor",adjetivo
waqintsa,"poner precio; asignar valor, dar valor. **waqichi.** v. ponerse mal (niño(a), con diarrea y llanto, por haberle puesto pañal que estuvo tendido hasta la noche). **waqityi.** v. última siembra del año; adj. último(a)",verbo
waqitykipa,caer(se) de espaldas,verbo
waqityna,"atrás, detrás. **waqla.** s. recodo (en camino, etc.); adj. y s. chueco(a), torcido(a) (afectado(a) por tortícolis).***wiqla*** **waqpana.** p. e. con razón",adverbo
warint’a,"sentir repentinamente un mareo, sentir mareo por haber dado vueltas. **warkisha.** adv. el año pasado, el año anterior",verbo
warkishkha,"el año pasado mismo, el año anterior mismo. **warmi.** s. mujer; esposa; dama, señora; cobarde, debilucho (insulto a hombre)",adverbo
warmini,"con mujer, casado",adjetivo
warminiwt’a,"llegar a tener mujer, conseguirse mujer",verbo
warmisana,polígamo,adjetivo y sustantivo
warmwishi,"que tuvo mujer (divorciado, viudo); solterón. **warq’illu.** s. concha, ostra. (TMX-JCT) **warq’u** o **warq’i.** v. roer, masticar o morder (largo rato) algo duro; masticar (chicle, jebe, etc.)",adjetivo y sustantivo
warq’qhasa,"masticar largo rato; rumiar. **warriyu** o **warriyusu.** adj. travieso(a), incorregible. **waruq’u.** s. arbusto espinoso. **waruru.** adv. hace días (no incluye el día anterior, ayer); la vez pasada, en día anterior",verbo
warurkha,"ya la vez pasada. **warwi.** v. temblar, vibrar; tener escalofrío(s); convulsionarse, tener convulsiones; s. temblor, terciana",adverbo
wasachna,"a pie, a pie no más",adverbo
wasachwasa,caminar sin descanso,verbo
wasarpaya,caminar rápido con pasos largos,verbo
waskata,"apurarse en el caminar, apretar el paso",verbo
wasmashi,compañero(a) de caminata,sustantivo
wasnaqa,caminar por aquí y por allá; pasearse,verbo
waspta,"empezar a caminar, dar los primeros pasos (niño(a))",verbo
wasptaya,hacer caminar (a la fuerza),verbo
wasqhullu,comenzar a caminar,verbo
wastata,"empezar a dar los primeros pasos. **wasa** (2) v. t. despertar, hacer despertar. **-wasa.** suf. cuidado con, no vayas a. Ej.:",verbo
watwata,"de año en año, anualmente",adverbo
watkha,"hace ya un año. **watara.** s. maíz blanco (se siembra en agosto o setiembre). **wati** o **wata** (2) v. remendar, parchar (ropa, manta, costal)",adverbo
watnushu,"lo que sirve para remendar o parchar (tela, trapo, etc.); parche",sustantivo
watshuta,"remendado(a), parchado(a); s. persona pobre (muy mal vestida), ropa con muchos parches. **watma** o **wathma.** s. el campo. **watqa.** adv. entonces, después, de allá; conj. pero",adjetivo
wawyshu,"erosionar (el viento). **waya** (1) adj. flojo(a), suelto(a) (zapato, ropa, lo que se amarra, etc.)",verbo
wayatsa,"poner flojo(a) o suelto(a), aflojar. **waya** (2) v. encharcarse, empozarse; **wáykiri.** s. charco",verbo
wáyaya,"dejar encharcado(a), mantener encharcado(a), encharcar. **wáyawa.** s. aliso (árbol). **waychawa.** s. pajarito de color entre gris y marrón claro. **waytya.** s",verbo
wayrinta,estar colgado(a),verbo
wayrkha,colgar,verbo
wayrkhishi,colgarse,verbo
wayrkhanushu,colgador; lugar donde se cuelga,sustantivo
wayrnaqa,"llevar o traer por aquí y por allá (balde, bolsa, cartera, costal)",verbo
wayrnatsa,descolgar,verbo
wayrnatsishi,descolgarse,verbo
wayrnatsshu,descolgar todo,verbo
wayrnuqu,"bajar, colocar en el suelo (balde, bolsa, costal)",verbo
wayrpta,alzar algo para calcular el peso,verbo
wayrqhullu,"comenzar a caminar llevando o trayendo balde, bolsa, cartera o costal",verbo
wayrshu,"sacar balde, bolsa, cartera o costal. **wayrinta** , **wayrkha** V. **wayri**. **wayrnatsa** , **wayrpta** V. **wayri**. **wayta.** s. flor; v. florecer",verbo
waytaya,"florecer, hacer florecer",verbo
waytt’a,"ponerse flores, adornarse con flores",verbo
wayturu,"adornar con flores la cabeza o el sombrero (en fiestas como las de la herranza y de la siembra); adornarse con flores, ponerse flores; **wayt-ruta.** adj. adornado(a) con flores. **waytiya.** v. aguaitar, acechar. V. **uulla**. **wicha.** adv. sí (enfático, reforzador). Ej.:",verbo
wich’usa,"delgadísimo(a), muy delgado(a)",adjetivo
wich’uywich’u,"delgadísimo(a). **witywityta.** v. pavonearse, caminar haciendo alarde. **wijchi.** v. partir en pedazos (pareja y cuidadosamente)",adjetivo
wijchkha,"partir con la mano o cuchillo (pan, queso, etc.)",verbo
wijchwijchara,"partir en varios pedazos; **wijchwijcharata.** adj. partido(a) en varios pedazos. **wijch’u.** s. final, extremo, borde (de manta, de cama, etc.); orilla, lindero.***wijty’u*** V. **wich’aqa**. **wijts’u.** s. diarrea; excremento aguado",verbo
wijts’uni,"con diarrea, afectado(a) por la diarrea",adjetivo
wijts’uniwt’a,"estar con diarrea, tener diarrea",verbo
wijts’uya,causar diarrea,verbo
wijts’qutru,"con diarrea, que defeca frecuentemente. **wijtyi.** v. silbar, dar silbido; s. silbido, silbo. V. **khuyu**. **wijtrhi.** v. retorcer, partir con las manos (con fuerza); jalonear, jalar o arrancar con la mano la lana (de carnero, etc.)",adjetivo
wijtrhnaqa,"jalonear, jalonear por aquí y por allá",verbo
wijtrhwijtrhara,"escarmenar con rapidez; zamaquear, jalonear. **wijichi.** v. t. terminar, acabar",verbo
wijchishi,"i. terminarse, acabarse; terminar, acabar; agotarse, consumirse (morir)",verbo
wijchqha,terminar lo que se dejó inconcluso. **wijiya.** v. mirar con interés (a enamorado(a)),verbo
wijiypaya,enamorar. **wijlli.** v. regar la chacra para sembrar (se hace una sola vez; no es como,verbo
wiksutha,de costado,adverbo
wiksuya,inclinar,verbo
wiksshu,"ponerse bizco(a). **wik’i.** v. arrancar (de raíz), jalar (lo que puede desprenderse o despegarse)",verbo
wik’shu,"arrancar de un tirón. **wik’uña.** s. vicuña. **wila.** s. sangre; flujo menstrual, líquido de la menstruación",verbo
wilani,"con sangre, que tiene sangre",adjetivo
wilasana,"ensangrentado(a), manchado(a) con sangre",adjetivo
wilshuya,"t. ensangrentar, manchar con sangre",verbo
wilwishi,"sin sangre, exangüe. **willq’u** V. **wiqhru**. **willta.** s. huerta. **willu.** s. curva (del camino), recodo (de río)",adjetivo
willwillu,"con curvas, en zigzag; adv. con curvas, dando curvas, en zigzag",adjetivo
wintrhuru,"ponerse pañuelo (en la cabeza). **winkuru.** v. agacharse, inclinarse; encogerse de miedo; **winkruta.** adj. agachado(a), inclinado(a)",verbo
winknaqa,"deambular, caminar sin rumbo fijo; andar por aquí y por allá moviendo la cabeza (como buscando algo). **wink’u.** s. escarpa, escarpadura (en ladera). **wiqutrhu.** s. ave pequeña de hábitos nocturnos, considerada de mal agüero. **wiqhllu** V. **wiqhru**. **wiqhru.** adj. torcido(a), chueco(a); s. tortícolis",verbo
wiqhrshu,"i. torcerse, ponerse chueco(a), volverse chueco(a), ponerse torcido(a); **wiqhrshuta.** adj. torcido(a), chueco(a), con tortícolis. **wiq’u.** s. sopa que se prepara con maíz molido.***wayq’u*** **wirti.** adj. verde; v. i. verdear, ponerse verde (plantas). **wiru.** s. tallo de maíz. **wisa** (1) s. mellizo(a), mellizos(as)",verbo
wishaya,"t. alzar, poder alzar",verbo
wishpta,"levantarse, poder levantarse",verbo
wishknaqa,"pedir, andar pidiendo; mendigar, pedir limosna; **wishknaqiri.** s. persona que anda pidiendo; limosnero(a), mendigo(a). **wishkha.** v. i. subir, ascender; abordar (vehículo)",verbo
wishkhshu,"i. llegar a parte alta; subir, ascender. **wishlla.** s. cuchara, cucharón. **wishnaqa.** v. vivir a salto de mata, andar escondiéndose y huyendo; **wishnaqiri.** s. el/la que vive huyendo y escondiéndose, fugitivo(a)",verbo
wishnuqu,"huir todos. (II) **witu.** adj. y s. mocho(a) de la cola; sin rabo, sin cola. **-wk-.** suf. haber. Es unión de -",verbo
yajri (2) v. escoger,"dar, entregar; s. regalo; santiamén; may yakna",verbo
yari,"esta noche, esta tarde (ya oscureciendo)",adverbo
yarkha,"esta misma noche, hoy mismo en la noche. **yarqaña.** s. arbusto de cuyas ramas y tallos se hace cunas y catres. **yawarshuq’a.** s. yerba parecida al llantén, de hojas largas y flor amarilla. **yawpta.** v. mezclar; agregar mezclando",adverbo
yawptishi,"mezclarse; agregarse mezclando. **yiqshu.** v. moler (yerbas, raíces). (II) V. **ñiqshu**. **yujya** (1) v. sentir ganas de vomitar, sentir náuseas; s. náusea(s)",verbo
yukhusana,"barbudo, bigotudo; con barba, con bigote. **yuma.** v",adjetivo
yumpaya,"sollozar o gemir junto a otro(a). **yunka.** s. la costa, valles de la costa, valles bajos. **yupiyantsa.** v. contar (número, cantidad) (u. a.). **yupiyantskha.** v. dar regalo (a recién nacido(a)). **yuqa.** s. hijo (JMBF). **yuqts’a.** s. nuera; cuñada (de varón, o de hermana o prima del esposo). V. **ipi**. **yuranq’u.** s. golondrina. **yuri.** v. nacer (personas y animales); producirse, darse (plantas); **yúrita** o **yurta.** adj. nacido(a)",verbo
yuyishi,"quererse, amarse",verbo
yuykata,"llegar a querer, llegar a amar. **yuya** (2) s. conciencia; pensamiento, razón, razonamiento",verbo
yuyani,"conciente, racional, con razonamiento, con sentido de la realidad; inteligente, astuto(a); de edad, que tiene edad (adulto(a), viejo(a))",adjetivo o sustantivo
yuyichi,"aconsejar, advertir. V. **yatyichi**",verbo
yuyqhasa,"pensar, quedarse pensando, pensar constantemente (en algo o alguien); retener una idea",verbo
yuyqhasaya,"hacer pensar en algo o alguien constantemente; hacer retener una idea, hacer quedarse pensando",verbo
yuytata,"recobrar el conocimiento, volver en sí, recuperar la conciencia",verbo
yuytatqha,"volver a recuperar el conocimiento, volver a recobrar la conciencia, volver en sí, reaccionar",verbo
yuyt’a,"acordarse, recordar; arrepentirse",verbo
yuyts’qha,"recordar nuevamente, recordar",verbo
yuywishi,"sin conciencia, sin razonamiento, sin sentido de la realidad. **yuyani** V. **yuya** (2). **yuyishi** V. **yuya** (1). **yuykata** V. **yuya** (1). **yuyqhasa** , **yuyt’a** V. **yuya** (2)",adjetivo
